Source;Target;Type;Id;Label;Weight
205;218;Directed;5295;;1.0
205;219;Directed;5296;;1.0
205;220;Directed;5297;;1.0
205;221;Directed;5298;;1.0
205;222;Directed;5299;;1.0
205;223;Directed;5300;;1.0
205;224;Directed;5301;;1.0
205;228;Directed;5305;;1.0
205;234;Directed;5311;;3.0
205;235;Directed;5312;;1.0
205;237;Directed;5314;;1.0
205;239;Directed;5316;;1.0
205;241;Directed;5318;;1.0
205;242;Directed;5319;;1.0
205;244;Directed;5321;;1.0
205;247;Directed;5324;;1.0
205;250;Directed;5327;;1.0
205;252;Directed;5329;;1.0
205;253;Directed;5330;;1.0
205;254;Directed;5331;;1.0
205;262;Directed;5339;;1.0
205;264;Directed;5341;;1.0
205;266;Directed;5343;;1.0
205;267;Directed;5344;;1.0
205;273;Directed;5350;;1.0
205;275;Directed;5352;;1.0
205;276;Directed;5353;;1.0
205;277;Directed;5354;;1.0
205;279;Directed;5356;;1.0
205;285;Directed;5362;;1.0
205;286;Directed;5363;;2.0
205;292;Directed;5369;;1.0
205;293;Directed;5370;;1.0
205;295;Directed;5372;;1.0
205;297;Directed;5374;;1.0
205;298;Directed;5375;;1.0
205;300;Directed;5377;;1.0
205;307;Directed;5384;;1.0
205;309;Directed;5386;;1.0
205;313;Directed;5390;;1.0
205;319;Directed;5396;;1.0
205;321;Directed;5398;;1.0
205;322;Directed;5399;;1.0
205;323;Directed;5400;;1.0
205;324;Directed;5401;;1.0
205;326;Directed;5403;;1.0
205;328;Directed;5405;;1.0
205;330;Directed;5407;;1.0
205;334;Directed;5411;;1.0
205;335;Directed;5412;;1.0
205;339;Directed;5416;;1.0
205;340;Directed;5417;;1.0
205;352;Directed;5429;;1.0
205;353;Directed;5430;;1.0
205;356;Directed;5433;;1.0
205;357;Directed;5434;;1.0
205;361;Directed;5438;;1.0
205;362;Directed;5439;;1.0
205;365;Directed;5442;;1.0
205;367;Directed;5444;;1.0
205;372;Directed;5449;;1.0
205;374;Directed;5451;;1.0
205;376;Directed;5453;;1.0
205;382;Directed;5459;;1.0
205;385;Directed;5462;;1.0
205;386;Directed;5463;;1.0
205;388;Directed;5465;;1.0
205;389;Directed;5466;;1.0
205;391;Directed;5468;;2.0
205;399;Directed;5476;;1.0
205;401;Directed;5478;;1.0
205;402;Directed;5479;;1.0
205;403;Directed;5480;;1.0
205;405;Directed;5482;;2.0
205;407;Directed;5484;;1.0
205;408;Directed;5485;;1.0
205;412;Directed;5489;;1.0
205;414;Directed;5491;;1.0
205;419;Directed;5496;;1.0
205;420;Directed;5497;;1.0
205;424;Directed;5501;;1.0
205;426;Directed;5503;;1.0
205;427;Directed;5504;;1.0
205;433;Directed;5510;;1.0
205;434;Directed;5511;;1.0
205;436;Directed;5513;;1.0
205;442;Directed;5519;;1.0
205;445;Directed;5522;;1.0
205;446;Directed;5523;;2.0
205;452;Directed;5529;;1.0
205;453;Directed;5530;;1.0
205;454;Directed;5531;;1.0
205;455;Directed;5532;;1.0
205;456;Directed;5533;;1.0
205;457;Directed;5534;;1.0
205;459;Directed;5536;;1.0
205;460;Directed;5537;;1.0
205;461;Directed;5538;;1.0
205;462;Directed;5539;;1.0
205;463;Directed;5540;;1.0
205;470;Directed;5547;;1.0
205;473;Directed;5550;;1.0
205;474;Directed;5551;;1.0
205;476;Directed;5553;;1.0
205;478;Directed;5555;;1.0
205;480;Directed;5557;;1.0
205;481;Directed;5558;;1.0
205;482;Directed;5559;;1.0
205;483;Directed;5560;;1.0
205;484;Directed;5561;;1.0
205;485;Directed;5562;;1.0
205;487;Directed;5564;;1.0
205;488;Directed;5565;;1.0
205;495;Directed;5572;;1.0
205;497;Directed;5574;;1.0
205;500;Directed;5577;;3.0
205;501;Directed;5578;;1.0
205;503;Directed;5580;;1.0
205;504;Directed;5581;;1.0
205;507;Directed;5584;;1.0
205;508;Directed;5585;;1.0
205;510;Directed;5587;;2.0
205;511;Directed;5588;;1.0
205;512;Directed;5589;;1.0
205;517;Directed;5594;;1.0
205;518;Directed;5595;;1.0
205;519;Directed;5596;;1.0
205;520;Directed;5597;;1.0
205;521;Directed;5598;;2.0
205;522;Directed;5599;;1.0
